# Which MSigDB terms the Metabolic collection is made of.
#
# One term per line: MSigDB systematic id, tab, category. A line beginning "!"
# is a term that was JUDGED AND LEFT OUT on purpose — it is recorded so that
# derive-metabolic.mjs's staleness check can tell "nobody has looked at this
# yet" from "somebody looked and said no", and so the second is arguable in a
# diff rather than invisible.
#
# HOW THIS WAS MADE
#
# Every one of the 15,646 term names in the pathway and ontology collections was
# read and judged against written criteria — the union across human and mouse,
# since they share systematic ids, so each term is decided once. It replaced a
# name-matching vocabulary, which is only ever as good as the correlation
# between what a pathway is called and what it is about. That correlation fails
# exactly where it matters: the vocabulary missed KEGG_PENTOSE_AND_
# GLUCURONATE_INTERCONVERSIONS, a metabolic map with no metabolic word in it;
# REACTOME_COMPLEX_I_BIOGENESIS and REACTOME_MITOCHONDRIAL_BIOGENESIS;
# KEGG_INSULIN_SIGNALING_PATHWAY and KEGG_PPAR_SIGNALING_PATHWAY, whose whole
# subject is metabolic control; and KEGG_TYPE_II_DIABETES_MELLITUS. No
# vocabulary catches those without catching half of signalling with them.
#
# WHAT COUNTS AS METABOLIC
#
# The biochemistry of small molecules — synthesis, breakdown, interconversion —
# energy metabolism, redox and one-carbon, storage and mobilisation, the
# transport of metabolites, the pathways that REGULATE metabolism, metabolic
# disease, metabolic enzyme activities, and the compartments that exist to do
# metabolism. Not: macromolecule turnover, which GO also calls metabolism
# (protein, RNA and DNA metabolic processes, translation, proteasome); the
# top-of-hierarchy terms that cover everything; or signalling and development
# where a metabolite is incidental.
#
# ONE STATEMENT, ONE SET
#
# The library said "oxidative phosphorylation" 60 times over, in 60 sets
# that are the same claim at different resolutions — every electron-transfer
# step, every respiratory complex's assembly, each database's own copy. That is
# 60 rows in a results table for one finding and 60 of the tests the
# Benjamini-Hochberg correction is spread across. The family is consolidated to
# four: Hallmark's and KEGG's oxidative phosphorylation, Reactome's aerobic
# respiration, and mitochondrial biogenesis, which is a different question from
# respiring. Terms whose subject is another family that merely happens in the
# mitochondrion — beta-oxidation, the TCA cycle, iron-sulfur clusters,
# mitochondrial fatty acid synthesis — stay with their own kind.
#
# Ribosomes and translation needed no consolidation: they are macromolecule
# turnover and the criteria never admitted them. The one survivor,
# GOBP_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS, is genuine small-molecule
# metabolism and is named for what it is NOT.
#
# 2813 terms included, 428 recorded as deliberately excluded.

GOBP_GAMMA_AMINOBUTYRIC_ACID_BIOSYNTHETIC_PROCESS	other
GOBP_GAMMA_AMINOBUTYRIC_ACID_IMPORT	transport
GOBP_GAMMA_AMINOBUTYRIC_ACID_METABOLIC_PROCESS	other
GOBP_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT	transport
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	lipid
GOBP_GANGLIOSIDE_CATABOLIC_PROCESS	lipid
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	lipid
GOBP_GDP_L_FUCOSE_METABOLIC_PROCESS	carbohydrate
GOBP_GDP_MANNOSE_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_GDP_MANNOSE_METABOLIC_PROCESS	carbohydrate
GOBP_GDP_METABOLIC_PROCESS	nucleotide
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	energy
GOBP_GERANYLGERANYL_DIPHOSPHATE_METABOLIC_PROCESS	lipid
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_GLUCAN_METABOLIC_PROCESS	carbohydrate
GOBP_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS	other
GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	other
GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	carbohydrate
GOBP_GLUCOSAMINE_METABOLIC_PROCESS	carbohydrate
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	carbohydrate
GOBP_GLUCOSE_CATABOLIC_PROCESS	carbohydrate
GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS	transport
GOBP_GLUCOSE_METABOLIC_PROCESS	carbohydrate
GOBP_GLUCOSYLCERAMIDE_CATABOLIC_PROCESS	lipid
GOBP_GLUCOSYLCERAMIDE_METABOLIC_PROCESS	lipid
GOBP_GLUCURONATE_METABOLIC_PROCESS	carbohydrate
GOBP_GLUTAMATE_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_GLUTAMATE_METABOLIC_PROCESS	amino-acid
GOBP_GLUTAMATE_REUPTAKE	transport
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	amino-acid
GOBP_GLUTAMINE_METABOLIC_PROCESS	amino-acid
GOBP_GLUTAMINE_TRANSPORT	transport
GOBP_GLUTATHIONE_CATABOLIC_PROCESS	redox
GOBP_GLUTATHIONE_DERIVATIVE_BIOSYNTHETIC_PROCESS	redox
GOBP_GLUTATHIONE_METABOLIC_PROCESS	redox
GOBP_GLUTATHIONE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_GLUTATHIONE_TRANSPORT	transport
GOBP_GLYCERALDEHYDE_3_PHOSPHATE_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS	carbohydrate
GOBP_GLYCEROL_3_PHOSPHATE_METABOLIC_PROCESS	lipid
GOBP_GLYCEROL_METABOLIC_PROCESS	lipid
GOBP_GLYCEROL_TRANSMEMBRANE_TRANSPORT	transport
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_GLYCEROLIPID_CATABOLIC_PROCESS	lipid
GOBP_GLYCEROLIPID_METABOLIC_PROCESS	lipid
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS	lipid
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	lipid
GOBP_GLYCINE_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_GLYCINE_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_GLYCINE_METABOLIC_PROCESS	amino-acid
GOBP_GLYCINE_TRANSPORT	transport
GOBP_GLYCOLIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_GLYCOLIPID_CATABOLIC_PROCESS	lipid
GOBP_GLYCOLIPID_TRANSPORT	transport
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE	energy
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE	energy
GOBP_GLYCOSAMINOGLYCAN_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_GLYCOSAMINOGLYCAN_CATABOLIC_PROCESS	carbohydrate
GOBP_GLYCOSAMINOGLYCAN_METABOLIC_PROCESS	carbohydrate
GOBP_GLYCOSIDE_CATABOLIC_PROCESS	carbohydrate
GOBP_GLYCOSIDE_METABOLIC_PROCESS	carbohydrate
GOBP_GLYCOSIDE_TRANSPORT	transport
GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS	lipid
GOBP_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_GLYCOSYL_COMPOUND_CATABOLIC_PROCESS	carbohydrate
GOBP_GLYCOSYLCERAMIDE_CATABOLIC_PROCESS	lipid
GOBP_GLYCOSYLCERAMIDE_METABOLIC_PROCESS	lipid
GOBP_GLYOXYLATE_METABOLIC_PROCESS	other
GOBP_GMP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_GMP_CATABOLIC_PROCESS	nucleotide
GOBP_GMP_METABOLIC_PROCESS	nucleotide
GOBP_GMP_SALVAGE	nucleotide
GOBP_GPI_ANCHOR_METABOLIC_PROCESS	lipid
GOBP_GTP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_GTP_METABOLIC_PROCESS	nucleotide
GOBP_GUANINE_METABOLIC_PROCESS	nucleotide
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	transport
GOBP_HEME_A_BIOSYNTHETIC_PROCESS	cofactor
GOBP_HEME_B_BIOSYNTHETIC_PROCESS	cofactor
GOBP_HEME_BIOSYNTHETIC_PROCESS	cofactor
GOBP_HEME_METABOLIC_PROCESS	cofactor
GOBP_HEME_TRANSPORT	transport
GOBP_HEMOGLOBIN_BIOSYNTHETIC_PROCESS	other
GOBP_HEMOGLOBIN_METABOLIC_PROCESS	other
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_CATABOLIC_PROCESS	carbohydrate
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	carbohydrate
GOBP_HEPARIN_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_HEPARIN_PROTEOGLYCAN_METABOLIC_PROCESS	carbohydrate
GOBP_HEPOXILIN_BIOSYNTHETIC_PROCESS	lipid
GOBP_HEXOSE_PHOSPHATE_TRANSPORT	transport
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY	lipid
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	lipid
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	lipid
GOBP_HISTAMINE_METABOLIC_PROCESS	other
GOBP_HISTAMINE_TRANSPORT	transport
GOBP_HOMOCYSTEINE_METABOLIC_PROCESS	amino-acid
GOBP_HORMONE_BIOSYNTHETIC_PROCESS	other
GOBP_HORMONE_CATABOLIC_PROCESS	other
GOBP_HORMONE_METABOLIC_PROCESS	other
GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_HYALURONAN_CATABOLIC_PROCESS	carbohydrate
GOBP_HYALURONAN_METABOLIC_PROCESS	carbohydrate
GOBP_HYDROCARBON_METABOLIC_PROCESS	lipid
GOBP_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS	redox
GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS	redox
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS	redox
GOBP_HYDROGEN_SULFIDE_METABOLIC_PROCESS	other
GOBP_HYPOXANTHINE_METABOLIC_PROCESS	nucleotide
GOBP_HYPOXIA_INDUCIBLE_FACTOR_1ALPHA_SIGNALING_PATHWAY	regulation
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS	lipid
GOBP_ICOSANOID_CATABOLIC_PROCESS	lipid
GOBP_ICOSANOID_METABOLIC_PROCESS	lipid
GOBP_ICOSANOID_SECRETION	lipid
GOBP_ICOSANOID_TRANSPORT	transport
GOBP_IMIDAZOLE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	other
GOBP_IMIDAZOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	other
GOBP_IMP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_IMP_CATABOLIC_PROCESS	nucleotide
GOBP_IMP_METABOLIC_PROCESS	nucleotide
GOBP_IMP_SALVAGE	nucleotide
GOBP_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	other
GOBP_INDOLE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	other
GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	other
GOBP_INOSINE_CATABOLIC_PROCESS	nucleotide
GOBP_INOSINE_METABOLIC_PROCESS	nucleotide
GOBP_INOSINE_TRANSPORT	transport
GOBP_INOSITOL_METABOLIC_PROCESS	lipid
GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_INOSITOL_PHOSPHATE_METABOLIC_PROCESS	lipid
GOBP_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_INOSITOL_TRISPHOSPHATE_METABOLIC_PROCESS	lipid
GOBP_INSULIN_CATABOLIC_PROCESS	regulation
GOBP_INSULIN_METABOLIC_PROCESS	regulation
GOBP_INSULIN_PROCESSING	regulation
GOBP_INSULIN_RECEPTOR_RECYCLING	regulation
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY	regulation
GOBP_INSULIN_SECRETION	regulation
GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	regulation
GOBP_INTERMEMBRANE_LIPID_TRANSFER	transport
GOBP_INTESTINAL_ABSORPTION	transport
GOBP_INTESTINAL_CHOLESTEROL_ABSORPTION	transport
GOBP_INTESTINAL_HEXOSE_ABSORPTION	transport
GOBP_INTESTINAL_LIPID_ABSORPTION	transport
GOBP_INTRACELLULAR_AMINO_ACID_HOMEOSTASIS	amino-acid
GOBP_INTRACELLULAR_COPPER_ION_HOMEOSTASIS	transport
GOBP_INTRACELLULAR_GLUCOSE_HOMEOSTASIS	regulation
GOBP_INTRACELLULAR_GLUTAMATE_HOMEOSTASIS	amino-acid
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS	transport
GOBP_INTRACELLULAR_LIPID_TRANSPORT	transport
GOBP_INTRACELLULAR_MAGNESIUM_ION_HOMEOSTASIS	transport
GOBP_INTRACELLULAR_MANGANESE_ION_HOMEOSTASIS	transport
GOBP_INTRACELLULAR_SPHINGOLIPID_HOMEOSTASIS	lipid
GOBP_INTRACELLULAR_STEROL_TRANSPORT	transport
GOBP_INTRACELLULAR_TRIGLYCERIDE_HOMEOSTASIS	storage
GOBP_INTRACELLULAR_ZINC_ION_HOMEOSTASIS	transport
GOBP_IRON_COORDINATION_ENTITY_TRANSPORT	transport
GOBP_IRON_IMPORT_INTO_CELL	transport
GOBP_IRON_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_IRON_ION_TRANSMEMBRANE_TRANSPORT	transport
GOBP_IRON_ION_TRANSPORT	transport
GOBP_ISOCITRATE_METABOLIC_PROCESS	energy
GOBP_ISOLEUCINE_METABOLIC_PROCESS	amino-acid
GOBP_ISOLEUCINE_TRANSPORT	transport
GOBP_ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS_MEVALONATE_PATHWAY	lipid
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS	lipid
GOBP_ISOPRENOID_CATABOLIC_PROCESS	lipid
GOBP_ISOPRENOID_METABOLIC_PROCESS	lipid
GOBP_ISOQUINOLINE_ALKALOID_METABOLIC_PROCESS	xenobiotic
GOBP_KETONE_BIOSYNTHETIC_PROCESS	energy
GOBP_KETONE_BODY_BIOSYNTHETIC_PROCESS	energy
GOBP_KETONE_BODY_CATABOLIC_PROCESS	energy
GOBP_KETONE_BODY_METABOLIC_PROCESS	energy
GOBP_KETONE_CATABOLIC_PROCESS	energy
GOBP_KETONE_METABOLIC_PROCESS	energy
GOBP_KYNURENINE_METABOLIC_PROCESS	amino-acid
GOBP_L_ALANINE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_L_ALANINE_TRANSPORT	transport
GOBP_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	transport
GOBP_L_AMINO_ACID_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_L_AMINO_ACID_CATABOLIC_PROCESS	amino-acid
GOBP_L_AMINO_ACID_METABOLIC_PROCESS	amino-acid
GOBP_L_AMINO_ACID_TRANSPORT	transport
GOBP_L_ARGININE_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_L_ARGININE_CATABOLIC_PROCESS	amino-acid
GOBP_L_ARGININE_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_L_ARGININE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_L_ASCORBIC_ACID_METABOLIC_PROCESS	cofactor
GOBP_L_ASPARTATE_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_L_ASPARTATE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_L_CYSTINE_TRANSPORT	transport
GOBP_L_GLUTAMATE_CATABOLIC_PROCESS	amino-acid
GOBP_L_GLUTAMATE_IMPORT	transport
GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_L_GLUTAMINE_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_L_HISTIDINE_METABOLIC_PROCESS	amino-acid
GOBP_L_HISTIDINE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_L_ISOLEUCINE_CATABOLIC_PROCESS	amino-acid
GOBP_L_KYNURENINE_METABOLIC_PROCESS	amino-acid
GOBP_L_LEUCINE_CATABOLIC_PROCESS	amino-acid
GOBP_L_LEUCINE_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_L_LEUCINE_METABOLIC_PROCESS	amino-acid
GOBP_L_LEUCINE_TRANSPORT	transport
GOBP_L_LYSINE_CATABOLIC_PROCESS	amino-acid
GOBP_L_LYSINE_CATABOLIC_PROCESS_TO_ACETYL_COA	amino-acid
GOBP_L_LYSINE_TRANSPORT	transport
GOBP_L_METHIONINE_SALVAGE_FROM_METHYLTHIOADENOSINE	amino-acid
GOBP_L_PHENYLALANINE_CATABOLIC_PROCESS	amino-acid
GOBP_L_PHENYLALANINE_METABOLIC_PROCESS	amino-acid
GOBP_L_PROLINE_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_L_PROLINE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_L_SERINE_CATABOLIC_PROCESS	amino-acid
GOBP_L_SERINE_METABOLIC_PROCESS	amino-acid
GOBP_L_SERINE_TRANSPORT	transport
GOBP_L_THREONINE_CATABOLIC_PROCESS	amino-acid
GOBP_L_TRYPTOPHAN_CATABOLIC_PROCESS	amino-acid
GOBP_L_TRYPTOPHAN_CATABOLIC_PROCESS_TO_KYNURENINE	amino-acid
GOBP_L_TRYPTOPHAN_METABOLIC_PROCESS	amino-acid
GOBP_L_TYROSINE_CATABOLIC_PROCESS	amino-acid
GOBP_L_VALINE_CATABOLIC_PROCESS	amino-acid
GOBP_LACTATE_BIOSYNTHETIC_PROCESS	energy
GOBP_LACTATE_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE	energy
GOBP_LACTATE_METABOLIC_PROCESS	energy
GOBP_LACTATE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_LACTONE_METABOLIC_PROCESS	other
GOBP_LAURIC_ACID_METABOLIC_PROCESS	lipid
GOBP_LEPTIN_MEDIATED_SIGNALING_PATHWAY	regulation
GOBP_LEUKOTRIENE_B4_METABOLIC_PROCESS	lipid
GOBP_LEUKOTRIENE_BIOSYNTHETIC_PROCESS	lipid
GOBP_LEUKOTRIENE_CATABOLIC_PROCESS	lipid
GOBP_LEUKOTRIENE_D4_BIOSYNTHETIC_PROCESS	lipid
GOBP_LEUKOTRIENE_METABOLIC_PROCESS	lipid
GOBP_LEUKOTRIENE_TRANSPORT	transport
GOBP_LINOLEIC_ACID_METABOLIC_PROCESS	lipid
GOBP_LIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_LIPID_CATABOLIC_PROCESS	lipid
GOBP_LIPID_DIGESTION	lipid
GOBP_LIPID_DROPLET_DISASSEMBLY	storage
GOBP_LIPID_DROPLET_FORMATION	storage
GOBP_LIPID_DROPLET_FUSION	storage
GOBP_LIPID_DROPLET_ORGANIZATION	storage
GOBP_LIPID_EXPORT_FROM_CELL	transport
GOBP_LIPID_HOMEOSTASIS	lipid
GOBP_LIPID_HYDROXYLATION	lipid
GOBP_LIPID_IMPORT_INTO_CELL	transport
GOBP_LIPID_LOCALIZATION	transport
GOBP_LIPID_METABOLIC_PROCESS	lipid
GOBP_LIPID_MODIFICATION	lipid
GOBP_LIPID_OXIDATION	lipid
GOBP_LIPID_PHOSPHORYLATION	lipid
GOBP_LIPID_TRANSLOCATION	transport
GOBP_LIPID_TRANSPORT_ACROSS_BLOOD_BRAIN_BARRIER	transport
GOBP_LIPOPHAGY	lipid
GOBP_LIPOPROTEIN_BIOSYNTHETIC_PROCESS	lipid
GOBP_LIPOPROTEIN_CATABOLIC_PROCESS	lipid
GOBP_LIPOPROTEIN_LOCALIZATION	transport
GOBP_LIPOPROTEIN_METABOLIC_PROCESS	lipid
GOBP_LIPOPROTEIN_PARTICLE_MEDIATED_SIGNALING	lipid
GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS	lipid
GOBP_LIPOXIN_A4_METABOLIC_PROCESS	lipid
GOBP_LIPOXYGENASE_PATHWAY	lipid
GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS	lipid
GOBP_LONG_CHAIN_FATTY_ACID_CATABOLIC_PROCESS	lipid
GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_INTO_CELL	transport
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	lipid
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT	transport
GOBP_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS	lipid
GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS	lipid
GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	lipid
GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	lipid
GOBP_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS	lipid
GOBP_LYSINE_METABOLIC_PROCESS	amino-acid
GOBP_MAGNESIUM_ION_HOMEOSTASIS	transport
GOBP_MAGNESIUM_ION_TRANSPORT	transport
GOBP_MALATE_ASPARTATE_SHUTTLE	energy
GOBP_MALATE_METABOLIC_PROCESS	energy
GOBP_MALONYL_COA_METABOLIC_PROCESS	lipid
GOBP_MANGANESE_ION_HOMEOSTASIS	transport
GOBP_MANGANESE_ION_TRANSMEMBRANE_TRANSPORT	transport
GOBP_MANGANESE_ION_TRANSPORT	transport
GOBP_MANNOSE_METABOLIC_PROCESS	carbohydrate
GOBP_MEDIUM_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS	lipid
GOBP_MEDIUM_CHAIN_FATTY_ACID_CATABOLIC_PROCESS	lipid
GOBP_MEDIUM_CHAIN_FATTY_ACID_METABOLIC_PROCESS	lipid
GOBP_MEDIUM_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS	lipid
GOBP_MELANIN_METABOLIC_PROCESS	other
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_MEMBRANE_LIPID_CATABOLIC_PROCESS	lipid
GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS	lipid
GOBP_MENAQUINONE_CATABOLIC_PROCESS	cofactor
GOBP_MENAQUINONE_METABOLIC_PROCESS	cofactor
GOBP_METABOLIC_COMPOUND_SALVAGE	other
GOBP_METABOLITE_REPAIR	other
GOBP_METALLO_SULFUR_CLUSTER_ASSEMBLY	cofactor
GOBP_METHIONINE_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_METHIONINE_METABOLIC_PROCESS	amino-acid
GOBP_METHYLGLYOXAL_CATABOLIC_PROCESS_TO_D_LACTATE_VIA_S_LACTOYL_GLUTATHIONE	carbohydrate
GOBP_METHYLGLYOXAL_METABOLIC_PROCESS	carbohydrate
GOBP_MINERALOCORTICOID_BIOSYNTHETIC_PROCESS	lipid
GOBP_MINERALOCORTICOID_METABOLIC_PROCESS	lipid
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS	amino-acid
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	amino-acid
GOBP_MODIFIED_AMINO_ACID_TRANSPORT	amino-acid
GOBP_MONOACYLGLYCEROL_BIOSYNTHETIC_PROCESS	lipid
GOBP_MONOACYLGLYCEROL_CATABOLIC_PROCESS	lipid
GOBP_MONOACYLGLYCEROL_METABOLIC_PROCESS	lipid
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	lipid
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	lipid
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	lipid
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT	transport
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS	carbohydrate
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS	carbohydrate
GOBP_MONOSACCHARIDE_TRANSMEMBRANE_TRANSPORT	carbohydrate
GOBP_MONOTERPENOID_METABOLIC_PROCESS	xenobiotic
GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_IRON_ION_HOMEOSTASIS	transport
GOBP_MYCOTOXIN_METABOLIC_PROCESS	xenobiotic
GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS	carbohydrate
GOBP_N_ACETYLNEURAMINATE_CATABOLIC_PROCESS	carbohydrate
GOBP_N_ACETYLNEURAMINATE_METABOLIC_PROCESS	carbohydrate
GOBP_N_ACYLETHANOLAMINE_METABOLIC_PROCESS	lipid
GOBP_N_ACYLPHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	lipid
GOBP_NAD_TRANSMEMBRANE_TRANSPORT	redox
GOBP_NAD_TRANSPORT	redox
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	energy
GOBP_NADPH_REGENERATION	redox
GOBP_NADPLUS_BIOSYNTHETIC_PROCESS	redox
GOBP_NADPLUS_CATABOLIC_PROCESS	redox
GOBP_NADPLUS_METABOLIC_PROCESS	redox
GOBP_NADPPLUS_BIOSYNTHETIC_PROCESS	redox
GOBP_NADPPLUS_METABOLIC_PROCESS	redox
GOBP_NEGATIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_AMINE_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_AMINO_ACID_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	regulation
GOBP_NEGATIVE_REGULATION_OF_CERAMIDE_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_CHOLESTEROL_EFFLUX	regulation
GOBP_NEGATIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_CHOLESTEROL_STORAGE	regulation
GOBP_NEGATIVE_REGULATION_OF_D_GLUCOSE_IMPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_DOPAMINE_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION	regulation
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	regulation
